Review,Type
"এতো সুন্দর একটা রেস্টুরেন্টে লেটকা খিচুড়ি,আচারি খিচুড়ি,সর্ষে ইলিশ এবং আরো অনেক কিছু। অনেকটা এস্থেটিক ডিজাইনে সাজানো ঢাকার মধ্যে নতুন একটি আকর্ষণ এর কথা আজ বলবো। Khansama,নাম টি যেমন রাজকীয় ঠিক তেমন একটা ভাইব ও পাওয়া যায়। ইনডোর এবং আউটডোর দুটো ফিল ই তারা দিয়েছে। আপনি চাইলে একই সাথে এসি এবং ফ্রেশ এয়ার এনজয় করতে পারবেন। ফ্রেন্ড সার্কেল নিয়ে আড্ডা দেওয়ার জন্য একদম পারফেক্ট। এবার বলা যায় তাদের ফুড নিয়ে। তাদের ফুড নিয়ে বলতে গেলে বলতেই হয় তাদের মতো এত সেরা স্বাদে আর কোনো রেস্টুরেন্টে ট্রেডিশনাল খাবার হয় না। তাদের খিচুড়ি খেলে আপনি তাদের র ফ্যান হতে বাধ্য। সিউরিটি দিয়ে বলতে পারি তাদের খিচুড়ি আপনাদের ভালো লাগবেই। সর্ষে ইলিশ টা আরো মজাদার,স্মেল টা জাস্ট আপনাকে খাবারের অন্য এক জগতে নিয়ে যাবে,ভর্তা দিয়ে খেতে বেশ মজা। বিরিয়ানির কথা বলতে গেলে এটি তাদের আরেকটি বেস্ট সেলিং ফুড",very good
সকাল সকাল সুন্দর পরিবেশে বসে খাঁটি বাঙালি স্বাদের মজাদার নাস্তা করতে চাইলে যেতে পারেন ছ্যাঁকা পোড়া রেস্টুরেন্টে। তাছাড়া foodpanda / shohoj এর মাধ্যমেও অর্ডার করতে পারেন। আগেই বলে রাখি আমরা ৪ জন গিয়েছিলাম. তাই এতো খাওয়া ওয়েস্ট হয়েছে সেটা মোটেও ভাববেন না,good
আজ গিয়েছিলাম কলকাতা কাচ্চি ঘরে কাচ্চি খেতে।। এই কলকাতা কাচ্চি আসলে কলকাতায় না পুরান ঢাকায়।।আমি নিয়েছিলাম স্পেশাল কাচ্চি।। যার দাম ছিল ৩০০ টাকা।।আরো নিয়েছিলাম বোরহানি যার দাম ছিল ৪০ টাকা গ্লাস।। কাচ্চি তৈরিতে বাসমতি চাল ব্যবহার করা হয়েছে।। আরো ছিল দুই পিস সলিড খাসির মাংস।।সাথে আরো ছিল আলু।মজাদার একটা চাটনিও দেয়া হয়েছিল। পরিমাণও ছিল বেশ ভালো।। খেতে আমার কাছে দারুন লেগেছে। আমিতো ১০ এ ৯ দিব,very good
"গ্রুপের অনেকের আর ফ্রেন্ডস দের রিকমেন্ডেশন এ চলে গেলাম সবচেয়ে হাইপ এ থাকা রেস্টুরেন্ট ""The Buffet Stories"" এর ধানমণ্ডি ব্র‍্যাঞ্চ এ। আমরা ছয় ফ্রেন্ড মিলে গিয়েছি গতকাল শনিবার এ। সেখানের বাফেট এক্সপিরিয়ান্স এর বিস্তারিত শেয়ার করছি।প্রথমত, বাফেট স্টোরি তে গিয়েই যেটা দেখলাম, সেইটা হচ্ছে প্রচুর ভীড়। শনিবার গেলাম যেন ভীড় না হয়, ঠিক ই ভীড় পেলাম। যাই হোক, খাবারের কথা বললে এপিটাইজার আইটেম খুব কম ছিল। আইটেম আরেকটু বাড়ানো যেত। তবে স্বাদ ভাল ছিল। মেইন ডিশ এর মোটামুটি সব আইটেম ই চেক করা হয়েছে, আইটেম গুলো সত্যি ই খুব ই ভাল ছিল। বিশেষ করে বিফ রেজালা টা ছিল পুরা জুস। চিকেন আইটেম গুলো অনেক মজার ছিল। চিকেন টিক্কা বাটার মাসালা ছিল হেব্বি লেভেল এর টেস্টি। ওদের লাইভ কাবাব গুলার টেস্ট অনেক ভাল লেগেছে। একটা স্মোকি ফ্লেভার ছিল। নান গুলো ও জোস ছিল। তবে, কিছু কিছু আইটেম ভাল ছিল না। যেমন- পাস্তা ও চাওমিন আমার কাছে একদম ই ভাল লাগে নি। বিশেষ করে চাওমিন এ একটা স্মেল ছিল যেটার কারণে খাওয়া যাচ্ছিল না। বাট এ দুইটা বাদে প্রতিটা আইটেম ই মোটামুটি ভালই ছিল। চিকেন আইটেম এর গ্রেভি গুলো ছিল খুব ই জোস। গার্লিক প্রণ টাও অনেক ভাল।সালাদ আইটেম এর মধ্যে ক্যাশিওনাট সালাদ বাদে বাকী গুলো ছিল খুব ই নরমাল। এভারেজ টাইপ এর।ডেসার্ট আইটেম গুলো খুব ভাল ছিল। বাট ডেসার্ট আইটেম কম মনে হলো। আরো কিছু এড করা যেতো। বাট এদের টেস্ট গুলো যাস্ট অসাম। বিশেষ করে রেড ভেলভেট কেক টার টেস্ট এখনো মুখে লেগে আছে। চকলেট মোস টাও ভাল ছিল অনেক। ক্রিম কেরামেল,কুনাফা ও ভাল ছিল। গোলাপ জামুন,পুডিং, শাহী টুকরা, কুনাফা, চকোলেট কেক ও ছিল বেশ মজার।ভাত ভর্তা আইটেম টাও টেস্ট করেছি। ভর্তা গুলো খুব ভাল ছিল। মেইন্স থেকে মিক্সড ভেজিটেবল, আর ডাল ফ্রাই নিয়েছি সাথে। এই দুইটা যাস্ট অসাম ছিল। বিশেষ করে ডাল টা তৃপ্তির সাথে খেয়েছি।কোক আর স্প্রাইট ছিল আনলিমিটেড।সমস্যার বিষয় বলতে গেলে একটা সমস্যা ছিল, সেটা হচ্ছে তারা বার বার এসি অফ করে দিচ্ছিল। এইটা কেন আমি জানি না। বাট এইটার কারণে গরমে অনেক অস্বস্তি লেগেছে। পরে বাধ্য হয়ে আমরা আমাদের সিট চেঞ্জ করিয়ে অন্য টায় বসেছি। ইন্টেরিয়র আর ডেকোরেশন ভাল ছিল। আমরা খেয়ে আর উনো খেলে সময় পার করেছি।ওভারঅল এক্সপিরিয়ান্স বলতে গেলে, খুব ভাল ডিল ছিল। ভোজন রসিক রা চোখ বন্ধ করে যেতে পারেন। তবে, কিছু কিছু খাবার মেনু বাড়ানোর জন্য অপ্রয়োজনীয় ছিল। সেগুলো বাদ দেয়া যেতে পারে। আর টুক টাক প্রবলেম গুলো সলভ হয়ে যাবে বলে আশা করি।",good
খন আসা যাক স্বাদ এর কথায়...... সবকিছুই ভালো ছিলো।মাংসের পিসগুলাও ছিলো যথেষ্ট মজার 😋 সব মিলিয়ে এই দামে এর চেয়ে ভালো কিছু আশা করাটা ঠিক হবে না আমার মনে হয়।,very good
আজকে পিজা খেতে ইচ্ছে করলে চলে গেলাম। পিজাবার্গ মিরপুর এ। এর আগে বেশ কিছুবার ই ফুডপান্ডা থেকে খাওয়া হয়েছে। মিরপুর এ আমার প্রথম পছন্দ পিজাবার্গ।চেড্ডারোলা পিজা টা যথারীতি জোস ছিলো পুরাই। লেয়ার কেক পিজা টাও টেস্টি। পিজাবার্গ নাম হলেও বার্গার টা সবচেয়ে জোস। পিজাবার্গ এ গেলে বার্গার টা মিস দিবো না। এইটা সবচেয়ে মজা লেগেছে আর অনেক বড় চিজি এবং জুসি ছিলো। স্টাফ দের ব্যবহার আর সার্ভিস ভালো ছিলো। তারা এসে জিজ্ঞেস করছে সব কিছু ঠিকঠাক কি না।,very good
"রেস্টুরেন্ট বিজনেসের লেজেন্ড অনিক পূর্ণয় তার “Subtle burger dating” গ্রুপের জনপ্রিয়তা দেখে একই নামের নতুন রেস্টুরেন্ট খুলেছে ধানমণ্ডি সাতমসজিদ রোডের ট্রাম্প ক্যাফে (বাইডেন ক্যাফে) এর উপরের ফ্লোরে। এখন প্রথমেই ক্লিয়ার করে রাখি, আনিক আমার প্রায় ১০ বছরের ফ্রেন্ড। তাই, আপনারা এই রিভিউ না বিশ্বাস করলেও পারেন। ফ্রেন্ডের রেস্টুরেন্ট নিয়ে তো আর খারাপ রিভিউ দেয়া যায় না। বিশেষ করে যেই ফ্রেন্ড তার আগের কমিক ক্যাফে আর বার্গার কুইনে ফ্রি খাওয়াতো। যাই হোক, লং স্টোরি শর্ট। আজকে সন্ধ্যা ৭ টার দিকে রেস্টুরেন্টে গেলাম। এরপর আনিকের সাথে স্মোকিং জোনে বসে ২ ঘণ্টা কোল্ড কফি আর আলফ্রেডো পাস্তা খেলাম। এরপর বাসায় আসার সময় আব্বু-আম্মুর জন্য ২ টা বার্গার নিয়ে আসলাম। (আজকে ফ্রি না) অনিকের সাথে ছবি দিয়ে দিলাম একটা। এখন এই রিভিউ বিশ্বাস-অবিশ্বাস আপনাদের বেপার। ",very good
"আজকে অনেকদিন পরে crush station restaurant এ গিয়েছিলাম, এর আগেও একবার গিয়েছি কিন্তু এবার খাবারের quality আগের তুলনায় ভালো ছিলো তাই ভাবলাম review post দিয়ে দেই।একটা মিটবক্স আার সেট মেন্যু থেকে অর্ডার করেছিলাম। মিটবক্স এক কথায় খুবই ভালো লেগেছে, মেয়োনিজ, চিজ, সস সহ সবকিছু পর্যাপ্ত ছিলো।এছাড়া ক্রাস স্টেশন রেস্টুরেন্টে অনেকেই পিকচার তোলার জন্যই যায় কারণ এখানে পিকচার তোলার মতো কিছু সুন্দর জায়গা রয়েছে। আমি কিছু পিকচার দেওয়ার চেষ্টা করেছি। সব মিলিয়ে পরিবেশ টা খুব ভালো, অাড্ডা দেওয়ার মতো। আর খাবারও reasonable Price এর মধ্যেই।",very good
"আপনি কি ঢাকার বেস্ট poutine খেতে চান? তাহলে অবশ্যই আপনাকে যেতে হবে madchef এর যেকোন ব্রাঞ্চ এ। খেতে হবে shah poutine। it is a must try item in madchef.   চিকেন,ব্যাকন,মাশ্রুম,ফ্রেঞ্চ ফ্রাই,চিজ,ডিম থাকে এই পুটিনে। এক কথায় অসাধারণ। প্রতিটা আইটেম এর ফ্লেভার দারুন। এইটা নিয়ে বেশি কিছু লেখার আসলে দরকার নাই। না খাইলে পস্তাইবেন বলে দিলাম। ",very good
"বেস্ট পিজা এবং বার্গার মানেই পিজাবার্গ। পিজাবার্গ এর পিজা এবং বার্গার আমার সব সময়েরই পছন্দ।আজকে যা যা খেলাম তা হলোঃচেড্ডারোলা পিজা। Largeচিজ ভল্কেনো বার্গার।আমেরিকান ফ্রাইস।তাদের চেড্ডারোলা পিজা আমার সবসময়েরই পছন্দ। এতে দুই পাশে দুই ধরনের ফ্লেভার থাকে। এটা খুবই মজাদার। বার্গার বরাবরই সেরা এটা একটা। নাম যেমন চিজ ভল্কেনো, এর সাথে তাল মিলিয়েই চিজ, মায়ো এবং চিকেনে ভরপুর। ফ্রাইস টাও মজাদার ক্রিস্পি। সবমিলিয়ে দারুণ এক এক্সপেরিয়েন্স।",very good
" 6 মাস পর বান্ধবী ঢাকায় আসছে আর ৮ মাস পর রেস্টুরেন্টে খেতে যাবো একসাথে। আর খেতে যাওয়ার আগে একটু ঘাটাঘাটি না করলে কি হয়? একটু খুজতেই বান্ধবী পেয়ে গেলো  ""Coffeelicious Coffee "" ওদের নতুন ব্রাঞ্চ খুলেছে UTTARA তেই আর সব প্লেটারের উপর চলছে বাই ওয়ান গেট ওয়ান অফার✨।  একে তো নতুন ব্রাঞ্চ তার উপর অফার এই সুযোগ তো আর মিস করা যায় না। ওদের সেক্টর ৩ এর ব্রাঞ্চটার জানালার পাশের ভিউটা যেমন আড্ডার জন্য পারফেক্ট তেমনি অনেক এক্সপেকটেশন নিয়েই দুই বান্ধবী চলে গেলাম। প্রথমে বলি ""interior design "" নিয়ে ওদের এই ব্রাঞ্চটা তুলনামূলক ভাবে একটু ছোট সেক্টর ৩ এর ব্রাঞ্চ থেকে।কিন্তু জানালার পাশের ভিউটার কথা কিন্তু তারা মাথায় রেখেছে কিন্তু এই ব্রাঞ্চটা বেশি photogenic. আপনি যদি আমার মত ছবি তুলার জন্য পাগল হয়ে থাকেন তবে এই ব্রাঞ্চ এ আসা আপনার জন্য মাস্ট এবার আসি খাবারের কথায়। আগেই বলে দেই বাই ওয়ান গেট অফারটা এখন আর নেই ১০ সেপ্টেম্বর পর্যন্ত ছিলো আমরা অর্ডার করি ওদের প্লেটার BBQ Chicken Bbq chicken টা খুবই juicy & soft ছিলো। কিন্তু একটু raw ছিলো যেটা আমার কাছে লেগেছে।  রাইসটা ছিলো egg, spinach, carrot & rice এর পারফেক্ট ব্যালেন্স সাথে ছিলো গ্রিন সস আর sauteed vegetables .  Vegetables গুলো একটু শক্ত ছিলো i guess আরেকটু soft হলে আমি খেতে পারতাম পেপে, গাজর আর বরবটি ছিলো vegetable.  French fry নেয়ারও অপশন আছে ভেজিস এর বদলে। আমি খেয়াল করিনি my bad",good
একটু ভিন্ন স্বাদের খাবার খেতে কার না ভালো লাগে.এ প্রথম বারের মত আমি এটি try করেছি এবং আমারতো এটি ভালো লেগেছে একটু টক একটু ঝাল এবং সাথে sweet corn সব মিলিয়ে ভিন্ন ধরনের স্বাদ ,very good
Foodbank এর এত এত review দেখে নিজেকে আর সামলাতে পারলাম না তাই চলে গেলাম#peri_pasta তে Peri pasta নিয়ে যাই বলব সেটা হয়তো কম হয়ে যাবেতাদের pasta নিয়ে কি বলব Purai paisa usul pasta খুব কম দামে এত মজার pasta I just love it Place টাও অসাধারণ ,very good
"আমি সাধারণত বার্গার খাই না । আমার কেনো জানি বার্গার খেতে ভালো লাগে না । তাও মাঝে মাঝে খেতে হয়। কারণ, আমার সব ফ্রেন্ডদের বার্গার অনেক পছন্দ। আমরা যখন বাহিরে কোথাও আড্ডা দিতে যাই তখন আমার ইচ্ছা না থাকলেও বার্গার খেয়ে বাসায় ফিরতে হয়। আজকে এক্সাম শেষ করে বনশ্রীতে আড্ডা দেওয়ার জন্য যাই। তারপর আমার ফ্রেন্ডরা প্রতিবারের মতো বার্গার অর্ডার করে। মনে মনে ভাবতেছিলাম, "" আজকেও আমার অপছন্দের খাবার খেতে হবে ""।ভাবনা চিন্তা শেষ না হওয়ার আগেই বার্গার আমাদের সামনে চলে আসলো। বার্গারটা দেখতে ৮/১০ টা বার্গারের মতোই। বার্গাটা দেখে আবার চিন্তায় পরে গেলাম যে, "" আজকেও মজা লাগবে না"" । ভয়ে ভয়ে হাসি মুখে একটু খেলাম । খাওয়ার পর যা বুঝলাম, ৮/১০ টা বার্গারের মতো দেখতে হলেও স্বাদের বেলায় ১ নাম্বার 😋। অনেক দিন পর একটা ভালো বার্গার খেলাম । যারা বার্গার খেতে পছন্দ করেন তারা একবার হলেও খেয়ে দেখবেন।আর যারা আমার মতো বার্গার খেতে পছন্দ করেন না তারাও একবার হলেও খেয়ে দেখবেন । এক কথায় বলতে গেলে, আমি আজকে এই বার্গারের প্রেমে পড়ে গেছি ।",very good
"অনেকদিন হয়ে গেছে review দেওয়া হয় না..আজকে অনেকদিন পর buffet এ যাওয়া..মোটামুটি ধানমন্ডির সব buffet এই খাওয়া হয়েছে,তাই আজকে Munchery টাই select করলাম কারণ এখানে যাওয়া হয়নি আগে...মানুষজন কম থাকায় নিরিবিলি পরিবেশে buffet উপভোগ করলাম..এখন review র ব্যাপারে বলতে গেলে একটু কষ্ট হবে,কেননা প্রতিটা খাবার অনেক ভালো ছিলোRate: 9/10 (10 ই দিতাম কিন্তু desert item গুলো আরেকটু ভালো করা লাগবে) all over সব গুলো আইটেমই best ছিলো",very good
"মাসাল্লা 490 ৳ আর কি চাই।Dhanmondi area sob teke kom price buffet and quality full (amr jana mote atai kom onno konota takle bolte parsi na)  tader price age besi silo bt akn offer disse only per person @490৳ 40+  items 😋😋 vava jai most of the food pic share korkm 😊 looks so yummy 🤤🤤 Taste Blast restaurant kota bolsi. Ar hygienic maintain kore duklei spray kore hand ar stuff alwys hand gloves & mask pora jinista vlo legese,  tader food pic deklei buja jai onk vlo,  try korte paren",very good
দুই বন্ধু আমার কাছে ট্রিট চাইলো তাই আমি চিন্তা করলাম তাদেরকে কোথায় সুন্দর একটা পরিবেশে ভালো খাবার খাওয়ানো যায় গেলাম ওয়াটারফল রেস্টুরেন্টে️। ঢাকার ভিতরে হয়তো পুরান ঢাকার কাচ্চি বেস্ট কিন্তু আড্ডার দেওয়ার মতো হয়তো তাদের পরিবেশ অত সুন্দর লাগেনা।️ ওয়াটারফলের ডেকোরেশন খুব সুন্দর।টেস্ট এর ব্যাপারেওঁ ফার্স্ট ক্লাস। নিঃসন্দেহে ঢাকার বেস্ট কাচ্চি গুলার মধ্যে একটা।,very good
Review দেখেই গিয়েছিলাম #Hyderabadi_biriyani খেতে #The_Hub_Restaurant এ। নিরাশ হতে হয় নি একদমই 😁। খাবারের মান এবং পরিমান উভয়ই ছিলো বেশ ভালো। এখন আসা যাক স্বাদ এর কথায়. বাসমতী চালের বিরিয়ানি হওয়ায় বিরিয়ানির স্বাদ বেড়ে গিয়েছিল অনেক বেশি। মুরগির মাংসের পিস টাও ছিলো যথেষ্ট বড়ো এবং মজার  সব মিলিয়ে এই দামে এর চেয়ে ভালো কিছু আশা করাটা ঠিক হবে না আমার মনে হয়। ,very good
"সেই পরিচিত দোসা হাটে মজার সকল খাবার যাই খাই না কেন সবই মজাদার এবং ইয়াম্মি,, আমি তাদের খাবার এর প্রেমে পরে গেছি,,,খুবই ভাল লেগেছে তাদের খাবার এবং ব্যাবহার,,, সব মিলিয়ে দারুন ছিল,,আজকে খেয়েছি চিকেন ছোলা বাটোরা",very good
"একটা কথা বকে রাখি তাদের রেগুলার কাষ্টমার হিসেবে আমাকে ৩০ টাকা ডিসকাউন্ট দিয়েছে,এখানে আসলে একটা কথাই মনে হয় টাকাটা পুরই উসল,, তাদের খাবার খুবই ভাল,,আমি আছি ইন শাহ আল্লাহ আপনাদের পাশে,,আর উনাদের খাবারের দাম খুবই কম সবকিছুই আর খাবারের মান ও অনেক ভাল,সব মিলিয়ে তাদেরকে বিশ্বাস করতে পারেন আমি একটা কথাই বলবো আপনি একটাবার ট্রাই করেই দেখেন তাহলে আপনিও আমার মতো রিভিউ দিতে বাধ্য হবেন",very good
"কিছুদিন আগেই গেলাম হালের ক্রেজ ঠিকানা রেস্টুরেন্টে।  এটা ঠিক রেস্টুরেন্টের এর সৌন্দর্য নিয়ে কোন কথা হবেনা, খুবই সুন্দর৷ এতো এতো ফুল, যেনো ফুলের রাজ্য। কিন্ত যাওয়ার পথের রাস্তাটা এতোই খারাপ, উবার আমাদের নামিয়ে দেয়ার পর, রিকশা নিলাম, সেই রিকশা তো আর নড়েনা, এতো জ্যাম। জ্যাম আর ধুলোর সাগর পাড়ি দিয়ে প্রায় এক কিলো হেটে যেতে হয়েছিলো।  কিছু কিছু জায়গার অবস্থা এতো খারাপ যে হাটাও অসম্ভব মনে হচ্ছিলো।  ২০০ টাকা এন্ট্রি  ফি দিয়ে যখন ঢুকলাম তখন মনে হলো কোন মাছের বাজারে চলে আসছি, আশে পাশে মানুষ আর মানুষ। একটা ছবি তোলার জায়গা খালি পাচ্ছিলাম না। আমরা শেষ বিকালে গিয়েছিলাম,  একটু পর সন্ধা নামতেই কোটি কোটি মশা এক যোগে আক্রমণ জানালো, কোথাও স্থির হয়ে বসা তো দূরের কথা,  রীতিমতো লাফাতে হচ্ছিলো।  পরে ইন্টেরিয়র এ কোন মতে বসে, তাদের ফুড অর্ডার করতে গিয়ে দেখি ম্যাক্সিমাম ফুড ই এভেলেবল না। একটা বিরিয়ানির দাম ৫০০+, আমরা চারজনে মিলে ১১০০ টাকায় চারটা স্যান্ডউইচ,  দুইটা ড্রিংক আর কিছু ফ্রেঞ্চ ফ্রাইস নিলাম, খাওয়া অব্ধি ভালোই ছিলাম।  কিন্ত বাসায় এসে বসতে না বসতেই আমার এতো বমি পাচ্ছিলো,  এতো খারাপ লাগছিলো,  সাথে সাথে ফুড পয়জনিং হয়ে বমি করে সবটা বের করার আগে শান্তি পেলাম না, এতো বেশি কস্ট পেয়েছি, আমি আর ভাবতে চাইনা অই দিন টার কথা।",bad
"মোটামুটি একটা অভিজ্ঞতা হয়ে গিয়েছে তাই এখানকার খাবার,পরিবেশ সম্পর্কে কিছু বলা যেতে পারে।তাই বলছি-ওদের ইন্টেরিয়র ভালোই সুন্দর,সবকিছু গোছানো, পরিপাটি,পরিষ্কার nothing disappointing...৯/১০...সার্ভিস যথেষ্ট ভালো সবাই খুব আন্তরিক...৯/১০",very good
"এ্যাপেটাইজার এরমধ্যে সবগুলা অন্যান্য বুফের মতোই এভারেজ।কোন আহামরি কিছু না। থাই সুপ এ চিংড়ি এবং চিকেন একটু কম।ভেজিটেবল পেয়াজু,পাকোড়া যেটাই বলি এটা অনেক মজা লেগেছে।",good
"মেইন কোর্সর মধ্যে আমার ভালো লেগেছে ফ্রাইড রাইস, পাস্তা,চাওমিন,বিফ রেজালা,সিচুয়ান ফিশ,বিফ চিলি অনিয়ন,মাসালা চিকেন,ভেজিটেবল দোপেয়াজা। আর হ্যাঁ কাবাবগুলো অসাধারণ লেগেছে।বিরানিটা একটুও ভালো লাগেনি মাটন রেজালার মধ্যে হাড্ডি দিয়ে ভরা। তবে যতটুকু গোশত পাওয়া যায় ততটুকু মজার সাথে খাওয়া যায়। আর অন্যান্য আইটেমগুলো কয়েকটা হচ্ছে এভারেজ বলা যায় আর দুই-একটা একেবারেই বাজে অবস্থা বিশেষ করে প্রণ কারি,ফ্লেমিং চিকেন। তবে হ্যাঁ কাবাবগুলো অসাধারণ। সাসলিক আর কাবাব টা সবচেয়ে বেশী মজার। একটা স্মোকি ফ্লেভার আছে। ভালো লাগবে",good
"এবার বলি বেস্ট পার্ট ডেজার্ট। ডেজার্ট এর মধ্যে কেক গুলো ততবেশি মজার না। সবচেয়ে মজা লেগেছে পুডিং, হোয়াইট মুয,ফ্রুট কাস্টার্ড,শাহী টুকরা,উম আলী। মিষ্টিগুলো একেবারেই ভাল লাগেনি। আর ড্রিঙ্কস তো আছেই পেপসি,সেভেন আপ,মিরিন্ডা",bad
"তবে হ্যাঁ একটা কথা এখানে যে খাবারগুলো দেওয়া হয়েছে সেগুলো ৫০০ টাকার মধ্যে অনেক বুফেতে এখন পাওয়া যায়।তারপরও আমি এটাকে বেস্ট বিবেচনা করি ওভারঅল হিসেবে।তবে তারপরও তাদের কাছে আবদার রাখবো অন্তত ৫০ টাকা কমানোর জন্য তাহলে এটা পারফেক্ট বলে আমার কাছে মনে হয়। আমি রেঙ্ক এর হিসাব করেছি সার্ভিস,খাবারের মান,স্বাদ,ফুড রিফিলিং,পরিষ্কার পরিছন্নতা,আচার-আচরণ,ব্যবস্থাপনাকে সামনে রেখে",very good
